Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2115618.190126,2025976.369216,1876737.785240,45.615967
1,2123983.513970,2052311.523820,1969314.182004,45.615967
2,2123983.513970,2075906.270072,2020396.416990,45.615967
3,2140354.982544,2083232.218831,2035581.379673,45.615968
4,2140354.982544,2095013.681892,2017661.230009,45.615968
5,2141487.904555,2104657.675736,2008280.775220,45.615968
6,2152281.385088,2117224.873713,2062277.265582,45.615968
7,2152281.385088,2130954.979099,2080438.738381,45.615968
8,2155189.318632,2129035.728313,1930621.148497,45.615968
9,2158226.279362,2134844.430526,2043148.160251,45.615968
10,2158226.279362,2139028.303138,2117424.166130,45.615968
11,2168491.108104,2139744.647867,2054349.376221,45.615968
12,2168491.108104,2143832.326914,2090153.015201,45.615968
13,2168491.108104,2144715.873182,2039779.933732,45.615968
14,2170768.475539,2146025.647486,2072149.028120,45.615968
15,2172770.616513,2149356.862643,2066531.963699,45.615968
16,2172770.616513,2152232.730376,2105752.012539,45.615968
17,2176369.886644,2154296.737284,2073599.120788,45.615981
18,2177387.911659,2156709.981977,2061063.991666,45.615981
19,2180638.762091,2152529.645293,2004927.939630,45.615981
20,2180638.762091,2161685.949057,2120040.019737,45.615981
21,2180638.762091,2160491.228219,2082368.078593,45.615982
22,2180638.762091,2167602.171280,2093854.428993,45.615982
23,2180638.762091,2170961.261813,2161844.821895,45.615982
24,2180682.673884,2170684.672390,2135212.883834,45.615982
25,2180682.673884,2167523.074014,2069234.465622,45.615982
26,2180957.793352,2172849.748829,2137624.739778,45.615982
27,2180957.793352,2169586.401877,2031082.643573,45.615982
28,2181646.033158,2170920.967479,2082654.892279,45.615982
29,2181646.033158,2176270.928334,2154821.839817,45.615982
