Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2447090.197828,2377172.437044,2221598.993420,20.971984
1,2449162.385221,2386066.639021,2334995.453562,20.971985
2,2449162.385221,2414575.620464,2339328.586901,20.971985
3,2449162.385221,2428063.371539,2356997.168549,20.971985
4,2451424.573808,2436460.657233,2384270.338592,20.971985
5,2451424.573808,2443243.201177,2418332.478462,20.971985
6,2455964.873270,2445876.425425,2423805.308583,20.971985
7,2455964.873270,2446051.673662,2419749.756759,20.971985
8,2456210.542365,2448406.253915,2433728.242635,20.971985
9,2456210.542365,2448406.496551,2431463.221353,20.971985
10,2456237.390861,2451312.615102,2441042.091263,20.971985
11,2457117.685589,2450762.677233,2412576.551763,20.971986
12,2457138.317638,2454134.440880,2445376.540760,20.971986
13,2458774.112266,2452916.400573,2403380.143770,20.971986
14,2458774.112266,2454079.269981,2440988.154341,20.971986
15,2459498.337212,2454458.676098,2442966.546616,20.971986
16,2459498.337212,2454744.433716,2445641.263860,20.971986
