distance_km,metric,n,mean_paired_difference,sample_sd,median,min,max,mean_percentage_change
0,reported_total_profit,10,1296470.9394122988,17.681204738669262,1296476.1411080062,1296438.048186034,1296494.3199886978,0.7425915824788071
0,revenue,10,5642890.0,0.0,5642890.0,5642890.0,5642890.0,2.07362805590034
0,total_transport_cost,10,4180992.981981568,79.51640434418182,4181031.3313127235,4180825.6710950583,4181065.9800588638,5.441145456762181
0,supplier_dc_transport_cost,10,9082494.838021412,47.62725442609659,9082511.875255946,9082402.484589905,9082545.361285448,19.16163154757391
0,dc_market_transport_cost,10,-4901501.856039844,35.86225473968744,-4901492.347560972,-4901576.813494857,-4901465.281734541,-16.648598640824794
0,investment_cost,10,5.145114680404732,73.45607489747945,-31.544912388666813,-57.30299444418828,167.93961261706667,1726.4095302640926
0,carbon_trading_cost,10,1497.4819722522855,82.57104937222466,1538.2296524140584,1323.5891593350425,1572.9908187811598,-1167806953.5951247
0,total_emission,10,748.7409861261427,41.28552468611233,769.1148262070292,661.7945796675212,786.4954093905799,5.1972549992108625
0,transport_emission,10,748.5406487861379,39.75820217134544,767.715314360843,664.8852055272309,785.0396874289763,NA
0,num_open_dcs,10,0.0,0.0,0.0,0.0,0.0,0.0
0,num_served_markets,10,1.0,0.0,1.0,1.0,1.0,8.333333333333334
0,mean_w_open_dcs,10,-6.516780710329093e-05,0.002378600161649573,-0.0008960573476702509,-0.002280873248615184,0.004887585532746823,166.8009994121105
0,demand_weighted_mean_w,10,-0.00013690672656114537,0.0028760766701808782,-0.0013139737934679825,-0.0026169444467547156,0.006120314098160432,144.86319981188785
5,reported_total_profit,10,632566.7121719122,22.34440593902629,632566.9390558451,632540.5626688898,632611.4173699021,0.3623210528952837
5,revenue,10,5642890.0,0.0,5642890.0,5642890.0,5642890.0,2.07362805590034
5,total_transport_cost,10,4844898.661197868,75.29982637315446,4844919.227606714,4844780.846853152,4845005.256285742,6.305152496660567
5,supplier_dc_transport_cost,10,9082488.083465734,43.22515336956495,9082505.13568294,9082422.246308208,9082550.160454571,19.161617297276905
5,dc_market_transport_cost,10,-4237589.4222678635,34.88507033496367,-4237593.507504022,-4237641.399455044,-4237544.9041688405,-14.393532343335437
5,investment_cost,10,4.405661267217391,60.589989003229235,-8.43499306397344,-90.64016240692503,83.28329287835598,565.0918529777316
5,carbon_trading_cost,10,1725.7986660480474,78.0643842413742,1747.2071251997295,1603.85039572174,1837.1299455736043,-1252985801.6661701
5,total_emission,10,862.8993330240237,39.0321921206871,873.6035625998647,801.92519786087,918.5649727868022,5.989686661827755
5,transport_emission,10,863.0552569397793,37.6499131853768,873.3384613561075,804.1480845929709,916.3528008758985,NA
5,num_open_dcs,10,0.0,0.0,0.0,0.0,0.0,0.0
5,num_served_markets,10,1.0,0.0,1.0,1.0,1.0,8.333333333333334
5,mean_w_open_dcs,10,0.0004724666014988595,0.002167435175622323,0.0,-0.003095470837406321,0.003584229390681003,109.6440329218107
5,demand_weighted_mean_w,10,5.815036134043971e-05,0.0026165208584614176,-0.0001326564934601859,-0.00353630409789031,0.003906616256771789,71.029810319957
15,reported_total_profit,10,-620682.3617384821,8.365804983085194,-620679.1288603246,-620697.9304065704,-620670.8769057989,-0.3555139442065334
15,revenue,10,0.0,0.0,0.0,0.0,0.0,0.0
15,total_transport_cost,10,620683.2509193703,61.67979716503318,620678.3555372581,620551.6781992465,620795.2177968025,0.807757359434342
15,supplier_dc_transport_cost,10,-8.534182030707598,36.28328842058249,0.0,-84.16005267947912,50.84575696289539,-1.800481281023619e-05
15,dc_market_transport_cost,10,620691.7851014029,32.27051310798685,620679.1450043675,620635.8382519186,620744.3720398247,2.1082616540195347
15,investment_cost,10,-0.6525742635139157,57.68020364288217,0.0,-102.26278753882472,124.8244050239627,1237.2171368257448
15,carbon_trading_cost,10,226.16431274200804,64.23854440267904,220.97514487620901,89.2025008212222,343.34319404801863,-172013169.79004538
15,total_emission,10,113.08215637100402,32.11927220133952,110.48757243810451,44.6012504106111,171.67159702400932,0.7851436317440911
15,transport_emission,10,113.20045968695013,30.839898579695827,110.75276863466752,47.414099629790144,169.18389839454903,NA
15,num_open_dcs,10,0.0,0.0,0.0,0.0,0.0,0.0
15,num_served_markets,10,0.0,0.0,0.0,0.0,0.0,0.0
15,mean_w_open_dcs,10,0.00017921146953405007,0.001982670958172212,8.145975887911372e-05,-0.0037471489084392306,0.0042359074617139125,153.03233392122277
15,demand_weighted_mean_w,10,-0.0002829542472466476,0.00229180661597205,-1.4093096518561442e-05,-0.004239080895550742,0.0046981498080908525,94.10598175741838
20,reported_total_profit,10,-1241362.3026582957,6.212613123857446,-1241362.0335220397,-1241371.2437343597,-1241352.3821122944,-0.7110265018187428
20,revenue,10,0.0,0.0,0.0,0.0,0.0,0.0
20,total_transport_cost,10,1241378.4007849083,37.36806460115552,1241359.1027764082,1241347.3235473484,1241465.4241862893,1.6155302041137232
20,supplier_dc_transport_cost,10,6.655735249817371,24.847587973791555,0.0,-24.432122871279716,49.18603013455868,1.4041836623987278e-05
20,dc_market_transport_cost,10,1241371.7450496615,20.543190532643493,1241362.7221152075,1241357.1013103426,1241416.238156151,4.216483142243855
20,investment_cost,10,-16.704419204755926,35.820957212934324,-0.1730910438743044,-100.77173228625836,21.406249946871718,-15.363182742913995
20,carbon_trading_cost,10,465.3070774901895,39.27560799394824,445.510747607701,432.3282835466016,556.6981612266645,-337750451.1718511
20,total_emission,10,232.65353874509475,19.63780399697412,222.7553738038505,216.1641417733008,278.34908061333226,1.6149688317752915
20,transport_emission,10,232.35039245448334,18.684032300829333,222.70138820688044,216.8117736692493,275.8620931431251,NA
20,num_open_dcs,10,0.0,0.0,0.0,0.0,0.0,0.0
