distance_km,mean_w_open_dcs,sample_sd_w_open_dcs,mean_demand_weighted_w,sample_sd_demand_weighted_w,mean_max_w,sample_sd_max_w
0,0.0019550342130987292,0.0016364200253415188,0.002338408348448437,0.0020405991571813093,0.08435972629521017,0.15491585095519664
5,0.0024926686217008795,0.00113668070449229,0.0025334654363500225,0.0012248039419673548,0.19423264907135876,0.20372943360444504
10,0.00202020202020202,0.00158924257290815,0.0024753150750095824,0.0018154611562443844,0.30039100684261977,0.34590113448437837
15,0.00219941348973607,0.0013786795128474098,0.002192360827762935,0.001686105707588006,0.1798631476050831,0.2539923119531958
20,0.0015640273704789834,0.0011001592060041793,0.001778730351370058,0.0014463092564355468,0.14897360703812318,0.2612356223003298
