Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,1.73967e+08,1.72999e+08,1.7207e+08,0.0740548
1,1.73967e+08,1.73209e+08,1.72682e+08,0.140431
2,1.73967e+08,1.73311e+08,1.72729e+08,0.200585
3,1.73967e+08,1.73469e+08,1.72884e+08,0.254624
4,1.73967e+08,1.73611e+08,1.7291e+08,0.31765
5,1.73967e+08,1.73687e+08,1.73338e+08,0.381763
6,1.73967e+08,1.73736e+08,1.73358e+08,0.443681
7,1.73967e+08,1.73762e+08,1.73163e+08,0.511884
8,1.73967e+08,1.73803e+08,1.73502e+08,0.569981
9,1.73967e+08,1.73825e+08,1.73608e+08,0.622298
10,1.73967e+08,1.73876e+08,1.73594e+08,0.6627
