Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,1471089.736881,1398481.729107,1344579.434611,2.912204
1,1471089.736881,1421592.897506,1364550.954469,2.912204
2,1471089.736881,1422078.952418,1350004.299240,2.912204
3,1471089.736881,1430769.954950,1349983.997269,2.912204
4,1471089.736881,1433893.721925,1358890.023110,2.912204
5,1471089.736881,1434719.882321,1381696.109080,2.912205
6,1471089.736881,1441275.970262,1382134.704686,2.912205
7,1471089.736881,1431725.572795,1345530.966103,2.912205
8,1471089.736881,1442363.971228,1350004.299240,2.912205
9,1471089.736881,1440962.603994,1349427.522169,2.912205
10,1471089.736881,1435412.058417,1357128.856736,2.912205
