Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2762553.040312,2604439.369519,2125766.856090,27.962096
1,2785365.706484,2647003.707938,2413648.361333,27.962096
2,2790805.370401,2707668.750617,2517107.254361,27.962096
3,2808524.429612,2738720.141427,2610791.934542,27.962096
4,2814826.337704,2745568.298440,2657083.170114,27.962096
5,2828104.077759,2768380.754134,2670521.186454,27.962096
6,2859701.895586,2770561.337402,2664406.019197,27.962097
7,2859701.895586,2778082.957585,2616877.410462,27.962097
8,2859701.895586,2800169.688706,2705189.306220,27.962097
9,2859701.895586,2827839.286542,2686306.396219,27.962098
10,2862781.677975,2824172.957343,2687505.248167,27.962098
11,2876004.754369,2838325.231400,2767350.119489,27.962098
12,2876004.754369,2839586.847863,2776362.713623,27.962098
13,2876004.754369,2841611.914375,2767493.394161,27.962098
14,2876004.754369,2842044.285408,2764049.150493,27.962098
15,2876004.754369,2846766.363089,2813465.045769,27.962098
16,2876199.876872,2857858.426744,2834834.448100,27.962098
17,2886189.823542,2860960.246249,2833215.223150,27.962105
18,2886189.823542,2865241.287444,2817591.764862,27.962105
19,2891382.291028,2866037.341913,2798704.877267,27.962105
20,2891382.291028,2860263.578058,2787142.776842,27.962105
21,2896353.922181,2871511.691188,2827875.290788,27.962105
22,2896353.922181,2875826.328613,2852714.023110,27.962105
23,2896353.922181,2877538.826490,2827540.621449,27.962105
24,2896353.922181,2875752.351868,2843202.908154,27.962105
25,2896429.669672,2876399.789523,2814282.011482,27.962105
26,2907280.909184,2875528.758392,2778524.574391,27.962105
27,2907280.909184,2881846.668445,2818342.590317,27.962105
28,2907280.909184,2889109.032169,2861550.335868,27.962105
29,2910670.679913,2896479.068910,2877247.584358,27.962105
30,2910670.679913,2897280.163438,2867615.368399,27.962105
31,2910670.679913,2896921.367355,2861973.356491,27.962105
32,2910793.649873,2899542.859017,2875565.604380,27.962105
33,2910793.649873,2899504.844284,2878400.194069,27.962106
34,2910793.649873,2896584.937523,2856964.698186,27.962106
35,2911439.261033,2894847.496192,2860741.703332,27.962106
36,2911439.261033,2899917.281348,2860573.736287,27.962106
37,2911439.261033,2895850.397083,2810873.902571,27.962106
38,2912197.732202,2898591.108139,2827278.655983,27.962106
39,2912197.732202,2897729.340484,2854930.945978,27.962106
