Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2873652.009726,2675644.749703,2125766.856090,32.826922
1,2900406.012603,2719222.791816,2444377.557056,32.826922
2,2900406.012603,2775784.987577,2569044.596812,32.826922
3,2900406.012603,2801158.767940,2588949.136414,32.826923
4,2916186.896397,2830060.008731,2666872.410308,32.826923
5,2931404.979137,2853613.731065,2722962.129281,32.826923
6,2938237.914092,2850494.711826,2669372.311779,32.826923
7,2960729.760949,2863683.638689,2723054.664873,32.826923
8,2964862.789012,2869148.738688,2763305.414854,32.826923
9,3002562.073746,2889155.953138,2791581.407900,32.826923
10,3002562.073746,2916628.470285,2767633.476157,32.826923
11,3002562.073746,2936677.412698,2847972.932619,32.826923
12,3002562.073746,2957947.108219,2798453.551236,32.826923
13,3010812.269452,2964066.512936,2899171.601930,32.826923
14,3030011.859407,2976394.127779,2823925.103268,32.826923
15,3031173.882533,2983302.984427,2929549.048672,32.826923
16,3046085.603087,3008943.921336,2948115.110527,32.826923
17,3049157.348437,3017562.931924,2971271.123589,32.826926
18,3058349.925274,3026509.080667,2981828.012842,32.826926
19,3058349.925274,3026967.107929,2930715.769987,32.826926
20,3058546.299684,3022762.129911,2916316.035310,32.826927
21,3058546.299684,3032250.726938,2953344.980238,32.826927
22,3065515.802766,3035585.688223,2963376.069364,32.826927
23,3065515.802766,3042871.899682,2966962.643437,32.826927
24,3067718.190277,3045209.631958,2973376.651976,32.826927
25,3067953.986685,3046604.146922,2991857.524990,32.826927
26,3070832.634535,3044746.562347,2939934.794063,32.826927
27,3071108.439418,3054140.544432,3004305.086023,32.826927
28,3076808.217706,3056393.231929,3020660.549087,32.826927
29,3076808.217706,3058738.397416,3032661.473899,32.826927
30,3077230.014302,3060224.840500,3021808.645061,32.826927
31,3077230.014302,3058187.015341,3011613.911801,32.826927
32,3077230.014302,3058553.996554,3020437.726899,32.826927
33,3077230.014302,3058309.511295,3033353.077488,32.826929
34,3085640.217217,3054481.749077,3000093.120828,32.826929
35,3085640.217217,3057385.795839,2996751.507369,32.826929
36,3085640.217217,3063633.360023,3026612.270278,32.826929
37,3085640.217217,3062526.250473,2998651.884172,32.826929
38,3091850.428733,3065040.306499,3002287.266841,32.826929
39,3091850.428733,3064369.398589,3006480.691431,32.826930
40,3092499.197476,3061493.413891,2996230.338690,32.826930
41,3094368.831873,3062499.885579,3011609.912662,32.826930
42,3094368.831873,3049128.377624,2955162.125098,32.826930
43,3094368.831873,3057616.409026,2979563.503236,32.826930
44,3094368.831873,3058231.504479,2989900.261080,32.826930
45,3100645.628833,3067373.017115,2994252.506226,32.826930
46,3100645.628833,3070939.863116,3022420.475619,32.826930
47,3100645.628833,3068254.029908,3018943.971448,32.826930
48,3100645.628833,3062593.656985,3012594.916857,32.826930
49,3101606.923391,3058841.420414,2961096.118183,32.826930
