dc_id,market_id,distance_0,distance_10,cost_0,cost_10,emission_0,emission_10,changed
C06,C01,213.613,213.613,83.3092,83.3092,0.0149444,0.0149444,false
C06,C02,415.566,415.566,162.071,162.071,0.029073,0.029073,false
C06,C03,216.801,216.801,84.5525,84.5525,0.0151674,0.0151674,false
C06,C04,263.046,263.046,102.588,102.588,0.0184027,0.0184027,false
C06,C05,150.3,150.3,58.6169,58.6169,0.010515,0.010515,false
C06,C06,0,10,0,3.9,0,0.0006996,true
C06,C07,554.761,554.761,216.357,216.357,0.0388111,0.0388111,false
C06,C08,148.427,148.427,57.8866,57.8866,0.010384,0.010384,false
C06,M09,303.842,303.842,118.498,118.498,0.0212568,0.0212568,false
C06,M10,288.388,288.388,112.471,112.471,0.0201756,0.0201756,false
C06,M11,370.144,370.144,144.356,144.356,0.0258953,0.0258953,false
C06,M12,107.025,107.025,41.7399,41.7399,0.00748747,0.00748747,false
C06,M13,220.242,220.242,85.8942,85.8942,0.0154081,0.0154081,false
C06,M14,415.32,415.32,161.975,161.975,0.0290558,0.0290558,false
C06,M15,235.049,235.049,91.669,91.669,0.016444,0.016444,false
C07,C01,463.365,463.365,180.713,180.713,0.032417,0.032417,false
C07,C02,171.093,171.093,66.7263,66.7263,0.0119697,0.0119697,false
C07,C03,374.416,374.416,146.022,146.022,0.0261941,0.0261941,false
C07,C04,345.917,345.917,134.908,134.908,0.0242004,0.0242004,false
C07,C05,409.138,409.138,159.564,159.564,0.0286233,0.0286233,false
C07,C06,554.816,554.816,216.378,216.378,0.0388149,0.0388149,false
C07,C07,0,10,0,3.9,0,0.0006996,true
C07,C08,426.072,426.072,166.168,166.168,0.029808,0.029808,false
C07,M09,298.235,298.235,116.312,116.312,0.0208645,0.0208645,false
C07,M10,403.733,403.733,157.456,157.456,0.0282452,0.0282452,false
C07,M11,301.243,301.243,117.485,117.485,0.021075,0.021075,false
C07,M12,468.512,468.512,182.72,182.72,0.0327771,0.0327771,false
C07,M13,349.161,349.161,136.173,136.173,0.0244273,0.0244273,false
C07,M14,149.56,149.56,58.3285,58.3285,0.0104632,0.0104632,false
C07,M15,484.527,484.527,188.965,188.965,0.0338975,0.0338975,false
C08,C01,97.311,97.311,37.9511,37.9511,0.00680788,0.00680788,false
C08,C02,283.339,283.339,110.502,110.502,0.0198224,0.0198224,false
C08,C03,72.6,72.6,28.3141,28.3141,0.0050791,0.0050791,false
C08,C04,120.29,120.29,46.9129,46.9129,0.00841549,0.00841549,false
C08,C05,84.99,84.99,33.1461,33.1461,0.0059459,0.0059459,false
C08,C06,148.033,148.033,57.733,57.733,0.0103564,0.0103564,false
C08,C07,423.098,423.098,165.008,165.008,0.0295999,0.0295999,false
C08,C08,0,10,0,3.9,0,0.0006996,true
C08,M09,161.086,161.086,62.8235,62.8235,0.0112696,0.0112696,false
C08,M10,164.042,164.042,63.9766,63.9766,0.0114764,0.0114764,false
C08,M11,227.387,227.387,88.6811,88.6811,0.015908,0.015908,false
C08,M12,97.125,97.125,37.8786,37.8786,0.00679486,0.00679486,false
C08,M13,81.637,81.637,31.8383,31.8383,0.00571132,0.00571132,false
C08,M14,283.657,283.657,110.626,110.626,0.0198446,0.0198446,false
C08,M15,237.75,237.75,92.7225,92.7225,0.016633,0.016633,false
