scenario,mean_profit_difference,profit_difference_sample_sd,mean_transport_cost_difference,mean_emission_difference,emission_difference_sample_sd,mean_investment_difference,mean_carbon_trading_cost_difference
0km-10km,1296470.9394122988,17.681204738669262,4180992.981981568,748.7409861261427,41.28552468611233,5.145114680404732,1497.4819722522855
5km-10km,632566.7121719122,22.34440593902629,4844898.661197868,862.8993330240237,39.0321921206871,4.405661267217391,1725.7986660480474
15km-10km,-620682.3617384821,8.365804983085194,620683.2509193703,113.08215637100402,32.11927220133952,-0.6525742635139157,226.16431274200804
20km-10km,-1241362.3026582957,6.212613123857446,1241378.4007849083,232.65353874509475,19.63780399697412,-16.704419204755926,465.3070774901895
