distance_km,mean_profit,profit_sample_sd,mean_total_transport_cost,mean_total_emission,emission_sample_sd,mean_investment_cost,mean_carbon_trading_cost,mean_num_open_dcs,mean_num_served_markets
0,175883817.4704982,17.800589119561447,81021301.98014057,15156.147131049796,29.87674354331818,49.1730857970361,1426.6084900118142,6.0,13.0
5,175219913.24325782,13.755801716450355,81685207.65935686,15270.305477947677,19.65233378795678,48.43363238384876,1654.925183807576,6.0,13.0
10,174587346.5310859,15.904827786964542,76840308.99815899,14407.406144923654,25.99408439113717,44.02797111663137,-70.87348224047128,6.0,12.0
15,173966664.16934744,14.442369747446797,77460992.24907836,14520.488301294658,23.32963457305692,43.37539685311745,155.29083050153676,6.0,12.0
20,173345984.22842762,15.168244953655638,78081687.3989439,14640.059683668747,19.817656604137717,27.32355191187544,394.4335952497182,6.0,12.0
